Company, Market Cap ,Ticker,Industry (arcoding to Refinitiv),Accusation,DATE,FINAL ACCUSATION,FINAL LINK,FINAL JOURNAL,Column1,Accusation 1,Date 1,Link to accusation,Journal name,Accusation 2,Date 2,Link to accusation2,Journal Name2,Accusation 3,Date 3,Link to accusation 3,Journal Name 3
APPLE INC. (XNAS:AAPL), $2’614’311’000’000 ,AAPL,"Computers, Phones & Household Electronics",1.0,24.10.23,"
Claims that its latest devices are “carbon neutral”, a term that Brussels proposes to ban in corporate marketing because it is “misleading”.
",https://www.ft.com/content/90392004-97e0-4444-a5cd-82220fe52510,Financial Times,,"
Claims that its latest devices are “carbon neutral”, a term that Brussels proposes to ban in corporate marketing because it is “misleading”.
",24.10.23,https://www.ft.com/content/90392004-97e0-4444-a5cd-82220fe52510,Financial Times,,,,,,,,
ABBVIE INC. (XNYS:ABBV), $282’630’700’000 ,ABBV,Pharmaceuticals,0.0,,,,,,,,,,,,,,,,,
"AIRBNB, INC. (XNAS:ABNB)", $104’340’600’000 ,ABNB,Software & IT Services,0.0,,,,,,,,,,,,,,,,,
ABBOTT LABORATORIES (XNYS:ABT), $186’584’400’000 ,ABT,Healthcare Equipment & Supplies,0.0,,,,,,,,,,,,,,,,,
ACCENTURE PUBLIC LIMITED COMPANY (XNYS:ACN), $206’496’600’000 ,ACN,Software & IT Services,1.0,22.03.20,"Peak Greenwashing: SAP backs oil and gas giants with Accenture partnership, eco-credentials go up in smoke.",https://www.theregister.com/2020/03/22/sap_back_gas_and_oil/,The Register,,"Peak Greenwashing: SAP backs oil and gas giants with Accenture partnership, eco-credentials go up in smoke.",22.03.20,https://www.theregister.com/2020/03/22/sap_back_gas_and_oil/,The Register,,,,,,,,
ADOBE INC. (XNAS:ADBE), $213’946’900’000 ,ADBE,Software & IT Services,1.0,09.12.19,Adobe amends e-card campaign after industry outcry.,https://www.printweek.com/content/news/adobe-amends-e-card-campaign-after-industry-outcry,Print Week,,Adobe amends e-card campaign after industry outcry.,09.12.19,https://www.printweek.com/content/news/adobe-amends-e-card-campaign-after-industry-outcry,Print Week,"Greenwash Success: Adobe Removes ""Save the Trees"" from E-Card Campaign",09.12.19,https://whattheythink.com/news/98687-greenwash-success-adobe-removes-save-trees-e-card-campaign/,What They Think,,,,
"ANALOG DEVICES, INC. (XNAS:ADI)", $100’158’600’000 ,ADI,Semiconductors & Semiconductor Equipment,0.0,,,,,,Is Sea-Greenwashing a Word? It Is Now.,19.08.22,https://www.counterpunch.org/2022/08/19/is-sea-greenwashing-a-word-it-is-now/,counterpunch.org,,,,,,,,
"AUTOMATIC DATA PROCESSING, INC. (XNAS:ADP)", $99’850’860’000 ,ADP,Software & IT Services,0.0,,,,,,,,,,,,,,,,,
"APPLIED MATERIALS, INC. (XNAS:AMAT)", $168’987’900’000 ,AMAT,Semiconductors & Semiconductor Equipment,0.0,,,,,,,,,,,,,,,,,
AMGEN INC. (XNAS:AMGN), $144’810’700’000 ,AMGN,Pharmaceuticals,1.0,11.12.23,Insight: No global carbon price? Some companies set their own,https://www.reuters.com/sustainability/no-global-carbon-price-some-companies-set-their-own-2023-12-10/,Reuters,,Insight: No global carbon price? Some companies set their own,11.12.23,https://www.reuters.com/sustainability/no-global-carbon-price-some-companies-set-their-own-2023-12-10/,Thomson Reuters,,,,,,,,
